"No.","Time","Source","Destination","Protocol","Length","Info"
"303","38.417144","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3606 Ack=64418 Win=130976 Len=0 TSval=596221242 TSecr=270163842"
"304","38.417578","192.168.11.20","216.58.194.164","TLSv1.2","112","Application Data"
"305","38.440180","216.58.194.164","192.168.11.20","TLSv1.2","284","Application Data"
"306","38.440283","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3652 Ack=64636 Win=130848 Len=0 TSval=596221265 TSecr=270163867"
"307","38.440413","216.58.194.164","192.168.11.20","TLSv1.2","617","Application Data, Application Data"
"308","38.440416","216.58.194.164","192.168.11.20","TLSv1.2","112","Application Data"
"309","38.440448","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3652 Ack=65187 Win=130272 Len=0 TSval=596221265 TSecr=270163867"
"310","38.440449","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=3652 Ack=65233 Win=130240 Len=0 TSval=596221265 TSecr=270163867"
"311","38.443658","192.168.11.20","216.58.194.164","TLSv1.2","112","Application Data"
"312","38.486794","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=65233 Ack=3698 Win=60160 Len=0 TSval=270163875 TSecr=596221267"
"313","38.590089","192.168.11.20","192.168.11.1","DNS","79","Standard query 0x9f2c A clients5.google.com"
"314","38.592753","192.168.11.1","192.168.11.20","DNS","119","Standard query response 0x9f2c A clients5.google.com CNAME clients.l.google.com A 216.58.194.174"
"315","38.594628","192.168.11.20","216.58.194.174","QUIC","1392","Client Hello, PKN: 1, CID: 13314995951034321593"
"316","38.595254","192.168.11.20","216.58.194.174","QUIC","1021","Payload (Encrypted), PKN: 2, CID: 13314995951034321593"
"317","38.600977","192.168.11.20","192.168.11.1","DNS","74","Standard query 0xa1c8 A ogs.google.com"
"318","38.603888","192.168.11.1","192.168.11.20","DNS","111","Standard query response 0xa1c8 A ogs.google.com CNAME www3.l.google.com A 172.217.6.46"
"319","38.605408","192.168.11.20","172.217.6.46","QUIC","1392","Client Hello, PKN: 1, CID: 7589620954702436015"
"320","38.616376","192.168.11.20","216.58.194.174","QUIC","1392","Client Hello, PKN: 3, CID: 13314995951034321593"
"321","38.618638","216.58.194.174","192.168.11.20","QUIC","1392","Payload (Encrypted), PKN: 1"
"322","38.618642","216.58.194.174","192.168.11.20","QUIC","73","Payload (Encrypted), PKN: 2"
"323","38.619003","192.168.11.20","216.58.194.174","QUIC","83","Payload (Encrypted), PKN: 4, CID: 13314995951034321593"
"324","38.619049","192.168.11.20","216.58.194.174","QUIC","80","Payload (Encrypted), PKN: 5, CID: 13314995951034321593"
"325","38.623657","216.58.194.174","192.168.11.20","QUIC","248","Payload (Encrypted), PKN: 3"
"326","38.626704","192.168.11.20","172.217.6.46","QUIC","1392","Client Hello, PKN: 2, CID: 7589620954702436015"
"327","38.628627","172.217.6.46","192.168.11.20","QUIC","1392","Payload (Encrypted), PKN: 1"
"328","38.628631","172.217.6.46","192.168.11.20","QUIC","73","Payload (Encrypted), PKN: 2"
"329","38.628955","192.168.11.20","172.217.6.46","QUIC","81","Payload (Encrypted), PKN: 3, CID: 7589620954702436015"
"330","38.629001","192.168.11.20","172.217.6.46","QUIC","80","Payload (Encrypted), PKN: 4, CID: 7589620954702436015"
"331","38.629384","192.168.11.20","172.217.6.46","QUIC","981","Payload (Encrypted), PKN: 5, CID: 7589620954702436015"
"332","38.629385","192.168.11.20","172.217.6.46","QUIC","169","Payload (Encrypted), PKN: 6, CID: 7589620954702436015"
"333","38.633024","172.217.6.46","192.168.11.20","QUIC","72","Payload (Encrypted), PKN: 3"
"334","38.634222","172.217.6.46","192.168.11.20","QUIC","72","Payload (Encrypted), PKN: 4"
"335","38.646836","192.168.11.20","216.58.194.164","TLSv1.2","259","Application Data"
